ip,ms,x,y,z,
192.168.1.109,2,0.05859375,-0.005859375,0.970703125,
192.168.1.109,4,0.056640625,-0.001953125,0.9765625,
192.168.1.109,7,0.05859375,0.0,0.9765625,
192.168.1.109,9,0.060546875,-0.00390625,0.98046875,
192.168.1.109,12,0.05859375,-0.005859375,0.97265625,
192.168.1.109,14,0.060546875,-0.001953125,0.974609375,
192.168.1.109,17,0.060546875,-0.001953125,0.978515625,
192.168.1.109,19,0.060546875,0.0,0.98046875,
192.168.1.109,22,0.056640625,-0.00390625,0.98046875,
192.168.1.109,24,0.0546875,-0.001953125,0.97265625,
192.168.1.109,27,0.052734375,-0.005859375,0.9609375,
192.168.1.109,29,0.048828125,-0.00390625,0.966796875,
192.168.1.109,31,0.048828125,-0.0078125,0.96875,
192.168.1.109,34,0.052734375,-0.013671875,0.94921875,
192.168.1.109,36,0.046875,-0.017578125,0.95703125,
192.168.1.109,40,0.052734375,-0.009765625,0.951171875,
192.168.1.109,43,0.046875,-0.00390625,0.966796875,
192.168.1.109,45,0.05078125,-0.00390625,0.951171875,
192.168.1.109,48,0.05859375,-0.009765625,0.943359375,
192.168.1.109,50,0.068359375,-0.0078125,0.955078125,
192.168.1.109,53,0.0703125,-0.001953125,0.958984375,
192.168.1.109,55,0.064453125,0.0,0.9453125,
192.168.1.109,58,0.0703125,0.00390625,0.966796875,
192.168.1.109,60,0.072265625,0.0078125,0.9921875,
192.168.1.109,63,0.072265625,-0.00390625,0.99609375,
192.168.1.109,65,0.08203125,-0.001953125,0.966796875,
192.168.1.109,68,0.083984375,-0.001953125,0.986328125,
192.168.1.109,71,0.08203125,0.001953125,0.96875,
192.168.1.109,73,0.0703125,0.0078125,0.95703125,
192.168.1.109,76,0.064453125,0.001953125,0.962890625,
192.168.1.109,78,0.06640625,0.0,0.978515625,
192.168.1.109,81,0.056640625,-0.00390625,0.986328125,
192.168.1.109,84,0.056640625,-0.001953125,0.958984375,
192.168.1.109,86,0.0546875,-0.009765625,0.947265625,
192.168.1.109,90,0.0625,-0.005859375,0.955078125,
192.168.1.109,93,0.052734375,-0.0078125,0.96484375,
192.168.1.109,95,0.05078125,-0.0078125,0.96875,
192.168.1.109,98,0.0546875,-0.005859375,0.970703125,
192.168.1.109,101,0.056640625,-0.0078125,0.974609375,
192.168.1.109,103,0.0625,-0.01171875,0.97265625,
192.168.1.109,106,0.064453125,-0.0078125,0.970703125,
192.168.1.109,108,0.064453125,-0.01171875,0.9765625,
192.168.1.109,111,0.076171875,-0.005859375,0.970703125,
192.168.1.109,114,0.072265625,-0.00390625,0.98046875,
192.168.1.109,116,0.0703125,-0.00390625,0.96484375,
192.168.1.109,119,0.07421875,-0.009765625,0.9765625,
192.168.1.109,121,0.060546875,-0.001953125,0.96875,
192.168.1.109,124,0.060546875,0.0,0.978515625,
192.168.1.109,126,0.0703125,-0.00390625,0.9921875,
192.168.1.109,129,0.076171875,-0.00390625,0.986328125,
192.168.1.109,132,0.080078125,-0.001953125,0.994140625,
192.168.1.109,134,0.078125,-0.005859375,0.97265625,
192.168.1.109,137,0.05859375,-0.00390625,0.974609375,
192.168.1.109,139,0.0625,-0.00390625,0.953125,
192.168.1.109,142,0.0625,0.001953125,0.96484375,
192.168.1.109,145,0.05859375,0.001953125,0.978515625,
192.168.1.109,149,0.068359375,-0.005859375,0.984375,
192.168.1.109,151,0.064453125,-0.00390625,0.9765625,
192.168.1.109,154,0.06640625,-0.01171875,0.958984375,
192.168.1.109,156,0.060546875,-0.013671875,0.955078125,
192.168.1.109,159,0.064453125,-0.0078125,0.966796875,
192.168.1.109,163,0.056640625,-0.009765625,0.990234375,
192.168.1.109,165,0.083984375,-0.013671875,0.970703125,
192.168.1.109,167,0.078125,-0.001953125,0.986328125,
192.168.1.109,170,0.078125,0.001953125,0.97265625,
192.168.1.109,172,0.068359375,0.0,0.95703125,
192.168.1.109,175,0.0546875,0.00390625,0.953125,
192.168.1.109,177,0.0390625,0.0,0.96875,
192.168.1.109,180,0.03515625,0.001953125,0.96875,
192.168.1.109,182,0.04296875,0.0,0.9765625,
192.168.1.109,185,0.044921875,0.0,0.970703125,
192.168.1.109,187,0.0546875,-0.005859375,0.962890625,
192.168.1.109,190,0.068359375,-0.044921875,0.978515625,
192.168.1.109,192,0.068359375,-0.056640625,0.982421875,
192.168.1.109,195,0.078125,-0.06640625,0.98828125,
192.168.1.109,197,0.080078125,-0.076171875,0.99609375,
192.168.1.109,200,0.078125,-0.060546875,0.9921875,
192.168.1.109,202,0.07421875,-0.044921875,0.98828125,
192.168.1.109,205,0.05859375,-0.01171875,0.9609375,
192.168.1.109,208,0.02734375,0.02734375,0.916015625,
192.168.1.109,210,0.009765625,0.04296875,0.873046875,
192.168.1.109,213,0.017578125,0.0234375,0.87890625,
192.168.1.109,215,0.04296875,-0.00390625,0.888671875,
192.168.1.109,218,0.060546875,-0.005859375,0.90625,
192.168.1.109,220,0.064453125,0.001953125,0.9140625,
192.168.1.109,223,0.0625,0.015625,0.92578125,
192.168.1.109,225,0.0625,0.015625,0.943359375,
192.168.1.109,228,0.064453125,0.01953125,0.955078125,
192.168.1.109,230,0.064453125,0.015625,0.97265625,
192.168.1.109,233,0.060546875,0.01953125,0.98828125,
192.168.1.109,235,0.0546875,0.037109375,1.0078125,
192.168.1.109,238,0.05859375,0.05078125,1.02734375,
192.168.1.109,241,0.068359375,0.060546875,1.060546875,
192.168.1.109,243,0.068359375,0.06640625,1.080078125,
192.168.1.109,246,0.068359375,0.0625,1.095703125,
192.168.1.109,248,0.064453125,0.052734375,1.095703125,
192.168.1.109,251,0.0625,0.041015625,1.080078125,
192.168.1.109,253,0.0703125,0.017578125,1.044921875,
192.168.1.109,256,0.064453125,0.005859375,1.025390625,
192.168.1.109,259,0.06640625,-0.01171875,1.005859375,
192.168.1.109,261,0.05859375,-0.017578125,0.98046875,
192.168.1.109,264,0.068359375,-0.03125,0.95703125,
192.168.1.109,266,0.060546875,-0.029296875,0.93359375,
192.168.1.109,269,0.046875,-0.0390625,0.904296875,
192.168.1.109,272,0.048828125,-0.03125,0.875,
192.168.1.109,274,0.056640625,-0.037109375,0.87890625,
192.168.1.109,277,0.04296875,-0.029296875,0.892578125,
192.168.1.109,279,0.060546875,-0.025390625,0.900390625,
192.168.1.109,283,0.056640625,-0.01171875,0.935546875,
192.168.1.109,287,0.05859375,-0.009765625,0.93359375,
192.168.1.109,290,0.046875,-0.00390625,0.97265625,
192.168.1.109,292,0.06640625,-0.005859375,0.966796875,
